Season,ID,Name,filename,Age,PuertoRico,PlusSize,Place,Wins,Highs,Lows,Lipsyncs,Comedy,Pageant ,SnatchGameWin,Party Princess,Purity Princess,Draggity Princess,Blackout Princess,Cookie Princess,Bartender Princess,PrincessPoints
1,1,Bebe Zahara Benet,,28,0,0,1,2,1,,1,,,,,,,,,,
1,2,Nina Flowers,,34,1,0,2,1,4,,,,,,,,,,,,
1,3,Rebecca Glasscock,,26,0,0,3,1,1,1,2,,,,,,,,,,
1,4,Shannel,,29,0,0,4,,2,,2,,,,,,,,,,
1,5,Ongina,,26,0,0,5,2,2,,1,,,,,,,,,,
1,6,Jade,,25,0,0,6,,,1,1,,,,,,,,,,
1,7,Akashia,,24,0,0,7,,,,3,,,,,,,,,,
1,8,Tammie Brown,,26,0,0,8,,,,1,1,,,,,,,,,
1,9,"Victora ""Porkchop"" Parker",,39,0,1,9,,,,1,,1,,,,,,,,
2,10,Tyra Sanchez,,21,0,0,1,3,3,1,,,,,,,,,,,
2,11,Raven,,30,0,0,2,2,3,,2,,,,,,,,,,
2,12,Jujubee,,25,0,0,3,,3,1,3,,,,,,,,,,
2,13,Tatianna,,21,0,0,4,1,1,2,2,,,1,,,,,,,
2,14,Pandora Boxx,,37,0,0,5,,4,1,1,1,,,,,,,,,
2,15,Jessica Wild,,29,1,0,6,1,3,,1,,,,,,,,,,
2,16,Sahara Davenport,,25,0,0,7,1,,,3,,,,,,,,,,
2,17,Morgan McMichaels,,28,0,0,8,1,,,2,,,,,,,,,,
2,18,Sonique,,26,0,0,9,,,1,1,,,,,,,,,,
2,19,Mystique,,25,0,1,10,,1,1,1,,,,,,,,,,
2,20,Nicole Paige Brooks,,36,0,0,11,,,,1,,,,,,,,,,
2,21,Shangela-2,,28,0,0,12,,,,1,,,,,,,,,,
3,22,Raja,,36,0,0,1,3,4,1,1,,,,,,,,,,
3,23,Manila Luzon,,25,0,0,2,3,4,1,1,,,,,,,,,,
3,24,Alexis Mateo,,30,1,0,3,3,2,2,3,,,,,,,,,,
3,25,Yara Sofia,,26,1,0,4,1,6,1,2,,,,,,,,,,
3,26,Carmen Carrera,,25,0,0,5,,1,3,3,,,,,,,,,,
3,27,Shangela-3,,29,0,0,6,2,1,1,3,,,,,,,,,,
3,28,Delta Work,,34,0,1,7,,1,,3,1,,,,,,,,,
3,29,Stacy Layne Matthews,,25,0,1,8,1,2,,2,,,1,,,,,,,
3,30,Mariah,,29,0,0,9,,1,2,1,,,,,,,,,,
3,31,India Ferrah,,23,0,0,10,,,,2,,,,,,,,,,
3,32,Mimi Imfurst,,27,0,1,11,,2,,1,1,,,,,,,,,
3,33,Phoenix,,29,0,0,12,,,,1,,,,,,,,,,
3,34,Venus D-Lite,,26,0,0,13,,,,1,,,,,,,,,,
4,35,Sharon Needles,,29,0,0,1,4,3,1,1,1,,,,,,,,,
4,36,Chad Michaels,,40,0,0,2,2,4,,1,,,1,,,,,,,
4,37,Phi Phi O'Hara,,25,0,0,3,2,3,2,1,,,,,,,,,,
4,38,Latrice Royale,,39,0,1,4,2,1,1,3,,,,,,,,,,
4,39,Kenya Michaels,,21,1,0,5,,1,2,2,,,,,,,,,,
4,40,DiDa Ritz,,25,0,0,6,,,2,2,,,,,,,,,,
4,41,Willam,,29,0,0,7,1,2,1,1,,,,,,,,,,
4,42,Jiggy Caliente,,30,0,1,8,,1,,3,,,,,,,,,,
4,43,Milan,,36,0,0,9,,1,,3,,,,,,,,,,
4,44,Madame LaQueer,,29,1,1,10,1,,1,1,1,,,,,,,,,
4,45,The Princess,,31,0,0,11,,1,,2,,,,,,,,,,
4,46,Lashauwn Beyond,,21,0,0,12,,1,,1,,,,,,,,,,
4,47,Alisa Summers,,23,0,0,13,,,,1,,,,,,,,,,
5,48,Alaska,,27,0,0,2,2,4,3,,1,,,,,,,,,
5,49,Alyssa Edwards,,32,0,0,6,1,,1,3,,1,,,,,,,,
5,50,Coco Montrese,,37,0,0,5,1,,,4,,1,,,,,,,,
5,51,Detox,,27,0,0,4,1,1,1,3,,,,,,,,,,
5,52,Ivy Winters,,26,0,0,7,1,3,2,1,,,,,,,,,,
5,53,Jinkx Monsoon,,24,0,0,1,2,6,,1,1,,1,,,,,,,
5,54,Roxxxy Andrews,,29,0,0,3,2,5,2,1,,1,,,,,,,,
5,55,Jade Jolie,,25,0,0,8,,,1,1,,,,,,,,,,
5,56,Lineysha Sparx,,24,1,0,9,1,1,,1,,,,,,,,,,
5,57,Honey Mahogany,,29,0,0,10,,1,,1,,,,,,,,,,
5,58,Vivienne Pinay,,26,0,0,11,,1,1,1,,,,,,,,,,
5,59,Monica Beverly Hillz,,27,0,0,12,,,,2,,,,,,,,,,
5,60,Serena ChaCha,,21,0,0,13,,,,2,,,,,,,,,,
5,61,Penny Traition,,39,0,1,14,,,,1,,,,,,,,,,
6,62,Bianca Del Rio,,37,0,0,1,3,4,,,1,,,,,,,,,
6,63,Adore Delano,,23,0,0,2,3,2,2,2,,,,,,,,,,
6,64,Courtney Act,,31,0,0,3,2,1,3,,,,,,,,,,,
6,65,Darienne Lake,,41,0,1,4,1,1,3,3,,,,,,,,,,
6,66,BenDeLaCreme,,31,0,0,5,2,4,1,2,1,,1,,,,,,,
6,67,Joslyn Fox,,26,0,0,6,,2,3,2,,,,,,,,,,
6,68,Trinity K. Bonet,,22,0,0,7,,4,,3,,,,,,,,,,
6,69,Laganja Estranja,,24,0,0,8,1,,,2,,,,,,,,,,
6,70,Milk,,25,0,0,9,,2,1,1,1,,,,,,,,,
6,71,Gia Gunn,,23,0,0,10,,,,1,,,,,,,,,,
6,72,April Carrion,,24,1,0,11,,1,,2,,,,,,,,,,
6,73,Vivacious,,40,0,0,12,,,,2,,,,,,,,,,
6,74,Magnolia Crawford,,28,0,0,13,,,,1,1,,,,,,,,,
6,75,Kelly Mantle,,37,0,0,14,,,,1,,,,,,,,,,
7,76,Voilet Chachki,,22,0,0,1,3,1,2,,,,,,,,,,,
7,77,Ginger Minj,,29,0,1,2,3,3,,2,1,,1,,,,,,,
7,78,Pearl,,23,0,0,3,2,,1,2,,,,,,,,,,
7,79,Kennedy Davenport,,33,0,0,4,2,4,,2,,1,1,,,,,,,
7,80,Katya,,32,0,0,5,2,4,,2,1,,,,,,,,,
7,81,Trixie Mattel,,24,0,0,6,1,1,,2,1,,,,,,,,,
7,82,Miss Fame,,29,0,0,7,,2,4,1,,,,,,,,,,
7,83,Jaidynn Diore Fierce,,25,0,1,8,,3,,3,,,,,,,,,,
7,84,Max,,22,0,0,9,2,,,1,,,,,,,,,,
7,85,Kandy Ho,,28,1,0,10,,,1,2,,,,,,,,,,
7,86,Mrs. Kasha Davis,,43,0,0,11,,2,,1,1,,,,,,,,,
7,87,Jasmine Masters,,37,0,0,12,,,1,1,,1,,,,,,,,
7,88,Sasha Belle,,28,0,0,13,,,1,1,,,,,,,,,,
7,89,Tempest DuJour,,46,0,0,14,,,,1,1,,,,,,,,,
8,90,Acid Betty,,37,0,0,8,,3,,1,,,,6,7,6,6,5,4,5.67
8,91,Bob the Drag Queen,,29,0,0,1,3,,1,1,1,,1,10,10,9,9,10,10,9.67
8,92,Chi Chi DeVayne,,29,0,0,4,1,1,1,2,,,,2,4,3,5,3,1,3
8,93,Cynthia Lee Fontaine,,34,1,0,10,,,,1,1,,,0,1,3,3,3,2,2
8,94,Dax ExclamationPoint,,31,0,0,11,,,,1,1,,,8,7,10,10,9,6,8.33
8,95,Derrick Barry,,32,0,0,5,1,2,2,2,,,,4,6,7,7,8,4,6
8,96,Kim Chi,,27,0,0,2,2,2,1,,1,,,10,8,7,5,5,7,7
8,97,Laila McQueen,,22,0,0,11,,,,2,,,,8,6,8,7,4,5,6.33
8,98,Naomi Smalls,,21,0,0,3,1,2,1,1,,,,4,3,7,9,4,5,5.33
8,99,Robbie Turner,,33,0,0,7,1,,2,2,1,,,6,5,5,2,8,8,6.17
8,100,Thorgy Thor,,31,0,0,6,,3,1,1,1,,,6,6,7,5,7,7,6.17
8,101,Naysha Lopez,,31,1,0,9,,,,2,,1,,2,3,3,2,5,2,2.83
9,102,Aja,,22,0,0,9,,1,,2,,,,6,7,8,5,7.5,3,6.75
9,103,Alexis Michelle,,33,0,0,5,1,2,2,2,,,,6,6,7,4,8.75,7,6.79
9,104,Charlie Hides,,52,0,0,12,,,1,1,,,,10,9,9,6,9,9,8.5
9,105,Eureka,,25,0,1,11,,1,,,,,,5,6,5.5,3,5,6,5.42
9,106,Farrah Moan,,23,0,0,8,,1,2,2,,,,5,6,7.5,6,7,2,6.42
9,107,Jaymes Mansfield,,26,0,1,14,,,,1,,,,10,10,6,6,7,7,7.83
9,108,Kimora Blac,,28,0,0,13,,,,2,,,,5,7,8,7,6,1,6.5
9,109,Nina Bo'Nina Brown,,34,0,0,6,1,1,1,3,,,,8,8,8.5,9,9,5,8.42
9,110,Peppermint,,37,0,0,2,1,2,1,2,,,,5,6,6.5,5,7.5,7,6.33
9,111,Sasha Velour,,29,0,0,1,2,5,1,,,,,8,7,8.5,8,7.5,7,7.83
9,112,Shea Coulee,,27,0,0,3,4,3,,1,,,,5,6,6.5,7,7.5,2,6.33
9,113,Trinity Taylor,,31,0,0,4,3,1,2,1,,,,4,5,4.5,4,6,1,4.92
9,114,Valentina,,25,0,0,7,1,3,,1,,,,6,7,7.5,7,8,2,7.08
9,115,Cynthia Lee Fontaine,,35,1,0,10,,,,2,,,,,,,,,,
10,116,Aquaria,Aquaria,21,0,0,,1,,,,,,,,,,,,,
10,117,Asia O'Hara,Asia,35,0,0,,1,1,1,,,,,,,,,,,
10,118,Blair St. Clair,Blair,22,0,0,,,3,,,,,,,,,,,,
10,119,Dusty Ray Bottoms,Dusty,29,0,0,11,,,1,1,,,,,,,,,,
10,120,Eureka O'Hara,EurekaS10,27,0,1,,1,1,,1,,,,,,,,,,
10,121,Kalorie Karbdashian-Williams,Kalorie,27,0,1,13,,,,2,,,,,,,,,,
10,122,Kameron Michaels,Kameron,31,0,0,,,2,1,,,,,,,,,,,
10,123,Mayhem Miller,Mayhem,35,0,0,10,1,1,,2,,,,,,,,,,
10,124,Miz Cracker,Miz,33,0,0,,,4,,,,,,,,,,,,
10,125,Monet X Change,Monet,27,0,0,,,1,,2,,,,,,,,,,
10,126,Monique Heart,Monique,31,0,0,,,1,1,,,,,,,,,,,
10,127,Vanessa Vanjie Mateo,Vanessa,25,0,0,14,,,,1,,,,,,,,,,
10,128,The Vixen,Vixen,26,0,0,,1,,1,,,,,,,,,,,
10,129,Yuhua Hamasaki,Yuhua,27,0,0,12,,1,,1,,,,,,,,,,